smiles,p_activity
CC(C)(C)OC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,7.295420550303701
CC(C)(C)OC(=O)CNC(=O)NC1CCCCC1,4.720105019988362
CC(C)(C)OC(=O)N1CCCC1C(=O)Oc1cccc2oc(=O)[nH]c12,5.764471553092451
CC(C)(C)OC(=O)N1CCN(CC1)C(=O)CCC(=O)N1CCC(CC1)NC(=O)NC12CC3CC(CC(C3)C1)C2,7.721246399047171
CC(C)(C)OC(=O)N1CCN(CC1)C(=O)CCCOc1cccc(NC(=O)NC23CC4CC(CC(C4)C2)C3)c1,7.667561540084394
CC(C)(C)OC(=O)N1CCN(CC1)C(=O)NC12CC3CC(CC(C3)C1)C2,6.309803919971486
CC(C)(C)OC(=O)N1CCN(CC1)C(=O)c1ccc(NC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,9.301029995663981
CC(C)(C)OC(=O)N1CCN(CC1)C(=O)c1cccc(NC(=O)NC23CC4CC(CC(C4)C2)C3)c1,8.136677139879545
CC(C)(C)OC(=O)N1CCN(CCCCCOc2cccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)c2)CC1,7.931814138253838
CC(C)(C)OC(=O)N1CCN(CCCCOc2ccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)cc2)CC1,7.696803942579511
CC(C)(C)OC(=O)N1CCN(CCCCOc2cccc(NC(=O)CC34CC5CC(CC(C5)C3)C4)c2)CC1,9.397940008672037
CC(C)(C)OC(=O)N1CCN(CCCCOc2cccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)c2)CC1,8.148741651280925
CC(C)(C)OC(=O)N1CCN(CCCCOc2ccccc2NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,7.782516055786093
CC(C)(C)OC(=O)N1CCN(CCCOc2ccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)c3cccnc23)CC1,8.167491087293763
CC(C)(C)OC(=O)N1CCN(CCCOc2ccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)cc2)CC1,7.835647144215563
CC(C)(C)OC(=O)N1CCN(CCCOc2cccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)c2)CC1,8.537602002101044
CC(C)(C)OC(=O)N1CCN(CCCOc2ccccc2NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,7.404503778174426
CC(C)(C)OC(=O)N1CCN(CCNC(=O)C2CCC(CC2)NC(=O)c2ccc(NC(=O)N[C@]34C[C@H]5C[C@](C)(C[C@](C)(C5)C3)C4)c(F)c2)CC1,6.73754891026957
CC(C)(C)OC(=O)N1CCN(CCOc2cccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)c2)CC1,8.55284196865778
CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)Oc1cccc2oc(=O)[nH]c12,5.573488738635424
CC(C)(C)OC(=O)NC1CNc2ccccc2C1,3.236572006437063
CC(C)(C)OC(=O)NCC(=O)Oc1cccc2oc(=O)[nH]c12,4.764471553092451
CC(C)(C)OC(=O)c1cc(O[C@@H]2CC[C@@H](CC2)NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)ccn1,9.301029995663981
CC(C)(C)OC(=O)c1cc(O[C@H]2CCC(CC2)NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)ccn1,9.045757490560675
CC(C)(C)OC(=O)c1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)cn1,9.301029995663981
CC(C)(C)ONC(=O)C(=O)Nc1ccc(CNC(=O)C23CC4CC(CC(C4)C2)C3)cc1,6.3893398369101195
CC(C)(C)ONC(=O)C(=O)Nc1ccc(CNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,7.721246399047171
CC(C)(C)c1cc(CNC(=O)Nc2cccc(c2)C(F)(F)F)nn1-c1ccc(cc1)S(C)(=O)=O,7.494850021680094
CC(C)(C)c1cc(NC(=O)NC23CC4CC(CC(C4)C2)C3)no1,7.251811972993799
CC(C)(C)c1cc(NC(=O)NC2C3CC4CC(C3)CC2C4)no1,7.136677139879544
